"","TCGA-E9-A1N6-01A-11R-A144-07","TCGA-A2-A259-01A-11R-A16F-07","TCGA-AC-A3EH-01A-22R-A22K-07","TCGA-EW-A424-01A-11R-A24H-07","TCGA-AR-A1AU-01A-11R-A12P-07","TCGA-B6-A409-01A-11R-A24H-07","TCGA-A2-A0YD-01A-11R-A109-07","TCGA-C8-A1HI-01A-11R-A137-07","TCGA-B6-A0I5-01A-11R-A034-07","TCGA-EW-A1IX-01A-12R-A144-07","TCGA-BH-A0DL-11A-13R-A115-07","TCGA-BH-A0DO-11A-22R-A12D-07","TCGA-E2-A153-11A-31R-A12D-07","TCGA-BH-A203-11A-42R-A169-07","TCGA-BH-A0C3-11A-23R-A12P-07","TCGA-AC-A2FB-11A-13R-A17B-07","TCGA-E2-A1L7-11A-33R-A144-07","TCGA-E9-A1RD-11A-33R-A157-07","TCGA-BH-A0DK-11A-13R-A089-07","TCGA-BH-A0BS-11A-11R-A12P-07"
"ENSG00000000003",611,3529,3101,3542,1537,9057,1796,4153,3625,1410,4943,5384,2790,4670,3580,5362,4209,5385,5175,6679
"ENSG00000000005",4,15,1,15,94,69,127,8,3,14,1038,712,36,778,93,1214,71,1877,85,569
"ENSG00000000419",1608,1994,1714,2551,1499,11641,2230,2871,1124,1431,1766,1500,1335,1802,1333,1924,1611,1988,2406,2240
"ENSG00000000457",850,1469,2492,1763,1482,1201,2886,3446,1176,1556,1562,1636,1394,1493,1579,1297,1217,1285,2222,1980
"ENSG00000000460",487,646,931,660,492,1050,1070,690,189,318,390,338,275,366,338,294,346,322,476,458
"ENSG00000000938",408,838,206,380,318,308,662,472,346,526,989,391,1124,480,283,874,787,1484,452,442
"ENSG00000000971",3097,6700,1437,1736,1748,1178,6020,4870,964,3757,8279,4017,3364,4188,3664,19730,5013,39238,4100,1982
"ENSG00000001036",2509,3570,1753,3191,2058,4949,1964,5228,2784,1079,2235,1569,1136,1542,1429,3221,1691,3137,2401,1577
"ENSG00000001084",1281,5960,1056,2664,1166,2151,1541,4232,670,1957,2668,2299,2979,3469,1812,2558,2067,4764,2995,2296
"ENSG00000001167",3193,3982,4369,3318,1859,3201,2790,3461,1567,2614,2606,2179,1829,2439,2272,2005,2148,2061,3373,2405
"ENSG00000001460",404,466,407,460,757,658,721,953,600,895,742,786,485,715,741,1044,720,959,944,909
"ENSG00000001461",485,5219,733,1306,2799,1363,1850,4239,1280,3982,5305,5327,2659,5932,5377,4954,2817,3257,4738,4527
"ENSG00000001497",2944,3639,3687,4795,2992,5408,2575,7149,2672,2810,3462,2725,2269,2180,2842,3029,2846,2918,3758,3569
"ENSG00000001561",247,1048,1477,1621,780,1090,2388,3040,392,1511,2432,1619,893,3197,978,2196,1298,3807,1759,1684
"ENSG00000001617",5459,7130,18550,10471,10742,1733,9626,6723,5036,6151,4170,2272,3122,2655,2838,3081,5924,3216,5839,3471
"ENSG00000001626",13,92,28,14,105,172,6,21,4,9,124,68,85,94,59,89,127,53,51,78
"ENSG00000001629",2912,5536,3801,3768,5510,2701,5287,5898,2220,5063,5572,4019,3006,5346,3842,4117,3279,6068,5886,3315
"ENSG00000001630",73,324,320,99,244,32,190,57,7,153,76,114,214,41,78,63,124,38,334,94
"ENSG00000001631",210,388,331,647,325,459,355,582,304,299,532,409,288,512,387,430,378,478,451,429
"ENSG00000002016",505,437,480,1028,520,266,560,491,308,559,1006,547,617,813,642,602,630,642,815,832
